specObjID,objID,z,ra,dec
276352159908364288,587730845812195591,0.253383010625839,309.69752036,-1.20555087
276633768180056064,587730845812785889,0.379653006792068,311.01606173,-1.06723284
276352159094669312,587730845812655470,0.31275799870491,310.78420317,-1.06084318
276352158876565504,587730845812785312,0.380450010299683,311.03483455,-1.07029182
276352159719620608,587730845812195935,0.307756990194321,309.7832967,-1.21923349
276352160084525056,587730845812065755,0.266510993242264,309.3924355,-1.19929001
276633767320223744,587730845813244354,0.0564086996018887,312.13352968,-1.24110274
276633767328612352,587730845813244869,0.174290001392365,312.12111513,-1.13235628
276633768029061120,587730845812851929,0.323980987071991,311.25328827,-1.07765227
276633767643185152,587730845813114017,0.332522988319397,311.85316097,-1.23262707
276633767152451584,587730845813310788,0.387596011161804,312.3339225,-1.04967874
276633767043399680,587730845813441766,0.391173005104065,312.59563956,-1.22010719
276633767215366144,587730845813375884,0.225980997085571,312.42896793,-1.12652234
276915143487520768,587730845813834899,0.298469007015228,313.41756447,-1.15721392
276915143273611264,587730845813899595,0.247247993946075,313.65299446,-1.22008416
276915143298777088,587730845813899793,0.047478798776865,313.57073193,-1.24917288
276915143453966336,587730845813834722,0.198737993836403,313.5369022,-1.10537011
276915143416217600,587730845813900129,0.298801988363266,313.53789144,-1.23261717
276915143311360000,587730845814030428,0.0126566998660564,313.8650896,-1.22524403
276915143084867584,587730845814031242,0.402942001819611,313.93103814,-1.12293649
277196614936821760,587730845814096177,0.409568011760712,314.06827504,-1.081121
277196613812748288,587730845814817693,0.469015002250671,315.74356398,-1.17237913
277196614295093248,587730845814489865,0.140045002102852,314.97683184,-1.14245235
277196613942771712,587730845814817581,0.357190012931824,315.64057709,-1.16987439
277478042710835200,587730845814883032,0.490294992923737,315.79738744,-1.08069821
277196613934383104,587730845814752281,0.468295991420746,315.59034862,-1.20428296
277478041830031360,587730845815341325,0.0594010017812252,316.91508527,-1.22819559
277478041674842112,587730845815406938,0.058898501098156,317.08959605,-1.13700784
277478041867780096,587730845815407225,0.176613003015518,317.03771801,-1.12796525
277478041549012992,587730845815669298,0.214296996593475,317.68547678,-1.24388343
277759568799334400,587730845816128201,0.284359991550446,318.71374826,-1.21999664
277478041574178816,587730845815603965,0.457213014364243,317.53901583,-1.15086837
277759568165994496,587730845816390266,0.340855985879898,319.3155719,-1.10163687
278041386844946432,587730845817176353,0.33983701467514,321.15371301,-1.08051268
278041387532812288,587730845816783367,0.0620831996202469,320.20596592,-1.14479797
278041386870112256,587730845817110668,0.338780999183655,320.93917949,-1.07021191
278041387373428736,587730845816980017,0.337687999010086,320.59255282,-1.13537734
278041386740088832,587730845817307586,0.223445996642113,321.45111421,-1.18123047
278322849817559040,587730845817504263,0.0296801999211311,321.91518586,-1.10217263
278322849972748288,587730845817438538,0.223442003130913,321.63790911,-1.12280623
278322849825947648,587730845817504193,0.0304812006652355,321.89040958,-1.18861662
278322849804976128,587730845817569859,0.275754988193512,321.92206834,-1.08574069
278322849792393216,587730845817569913,0.330154001712799,322.00931137,-1.10956262
278604101166563328,587730845818356231,0.345984995365143,323.74832264,-1.2569642
278604100868767744,587730845818421799,0.237667992711067,323.93827298,-1.05249633
278604101191729152,587730845818290564,0.119318000972271,323.6429442,-1.10671958
