# VIPERS Database
# File    : w4_spec_radec.txt.gz
# Date    : 2013-02-28 10:42
# Table   : W4_PHOT correlated with W4_SPECTRO_V3_0
# Columns : 3
# Rows    : 24858
# SQL     : SELECT W4_PHOT.alpha, W4_PHOT.delta, W4_SPECTRO_V3_0.zspec 
#           FROM W4_PHOT INNER JOIN W4_SPECTRO_V3_0 USING (num) WHERE (
#           W4_SPECTRO_V3_0.zflg >= 2)
# W4_PHOT.alpha	W4_PHOT.delta	W4_SPECTRO_V3_0.zspec
# DOUBLE	DOUBLE	FLOAT
# deg	deg	
331.902243	1.037025	0.0000
331.902443	1.126584	0.5575
331.788236	0.930482	0.7202
331.790552	0.894156	0.5118
331.791735	0.923389	0.6737
331.793074	0.919802	0.6740
331.795655	0.868276	0.5924
331.794956	0.936840	0.7443
331.797274	0.879444	0.0000
331.797806	0.918943	0.9747
331.800293	0.884271	0.0000
331.799303	0.957030	0.9112
331.804255	0.883012	0.7315
331.805885	0.916185	0.9500
331.805192	0.953490	0.6087
331.808655	0.913667	0.5120
331.808100	0.989037	0.8480
331.809910	0.986643	0.5959
331.815954	0.865941	0.5957
331.816216	0.929090	0.7209
331.819923	0.872664	0.2384
331.818769	0.969076	0.9130
331.823675	0.883192	1.0240
331.822818	0.968262	0.5414
331.823835	0.968425	0.6679
331.831303	0.907352	0.0000
331.832717	0.878853	0.5976
331.833419	0.958058	0.6998
331.835112	0.885573	0.8662
331.837142	0.926209	0.9056
331.839513	0.983470	0.7323
331.842354	0.887824	0.8670
331.841965	0.973815	0.5155
331.845667	0.872760	0.6643
331.844571	0.967957	0.5138
331.846638	0.918523	0.9640
331.846521	0.982954	0.0000
331.849022	0.891484	0.6680
331.848249	0.947642	0.5151
331.850526	0.884978	0.7121
331.850279	0.969152	0.5132
331.852788	0.975326	0.5127
331.854939	0.869383	0.6860
331.854340	0.974625	0.5102
331.855912	0.970793	0.5149
331.857336	0.980436	0.7746
331.859566	0.985570	0.5126
331.860939	0.888611	0.0000
331.862846	0.928209	0.0000
331.861938	0.970017	1.0525
331.867499	0.865163	0.0000
331.871657	0.876488	0.4493
331.874416	0.891116	0.6730
331.875490	0.907333	0.9760
331.880845	0.891380	0.6020
331.880268	0.973812	0.5210
331.882606	0.868287	0.4481
331.882480	0.923678	0.6765
331.885583	0.945698	0.7787
331.887635	0.906847	0.8810
331.894079	0.877102	0.7764
331.893677	0.932784	0.8794
331.900489	0.880124	0.8916
331.941392	0.890216	0.6722
331.941734	0.931281	0.6719
331.943789	0.867090	0.9523
331.944891	0.947840	0.7163
331.949883	0.962606	0.5119
331.951800	0.891578	0.8838
331.951096	0.944246	0.0000
331.953612	0.869578	0.4520
