# VIPERS Database
# File    : w1_spec_radec.txt.gz
# Date    : 2013-02-28 10:40
# Table   : W1_PHOT correlated with W1_SPECTRO_V3_0
# Columns : 3
# Rows    : 25030
# SQL     : SELECT W1_PHOT.alpha, W1_PHOT.delta, W1_SPECTRO_V3_0.zspec 
#           FROM W1_PHOT INNER JOIN W1_SPECTRO_V3_0 USING (num) WHERE (
#           W1_SPECTRO_V3_0.zflg >= 2)
# W1_PHOT.alpha	W1_PHOT.delta	W1_SPECTRO_V3_0.zspec
# DOUBLE	DOUBLE	FLOAT
# deg	deg	
33.368542	-4.208880	0.5912
33.370934	-4.273479	0.4965
33.370080	-4.181554	0.6594
33.376135	-4.219551	0.6200
33.377044	-4.173368	0.4560
33.378809	-4.193337	0.6497
33.380874	-4.288411	0.7263
33.380806	-4.224503	1.0258
33.384067	-4.258466	0.6634
33.388345	-4.259844	0.0000
33.387416	-4.219948	0.6196
33.387487	-4.178111	0.5875
33.392766	-4.243913	0.6173
33.393837	-4.206832	0.9352
33.395731	-4.274759	0.9461
33.398946	-4.296009	0.4458
33.397865	-4.255511	0.7233
33.398002	-4.175450	0.6201
33.403558	-4.186672	0.2682
33.402875	-4.186715	0.6213
33.405267	-4.273955	0.7753
33.404602	-4.236778	0.4376
33.404775	-4.187152	0.6243
33.407386	-4.264943	1.0279
33.407866	-4.213424	0.7403
33.410777	-4.258191	0.6557
33.413428	-4.238841	0.6574
33.413507	-4.198297	0.5242
33.415001	-4.246479	0.0080
33.416268	-4.229218	0.9852
33.420214	-4.247356	0.7725
33.421644	-4.217471	0.6664
33.422797	-4.173376	0.8610
33.424473	-4.216383	1.3338
33.425985	-4.207458	0.8368
33.429339	-4.250800	0.8470
33.430645	-4.256348	0.6182
33.432162	-4.264823	0.6545
33.434070	-4.216090	0.6200
33.433790	-4.179124	0.8566
33.435442	-4.203027	0.9666
33.438175	-4.281991	0.6546
33.440106	-4.191972	0.5992
33.441574	-4.251548	0.8473
33.441264	-4.177930	0.7268
33.444617	-4.297836	0.6456
33.443972	-4.245266	0.6662
33.442812	-4.194808	0.8580
33.446703	-4.253633	0.8499
33.445550	-4.213578	0.6403
33.450718	-4.284394	0.6538
33.449902	-4.220866	0.5571
33.452230	-4.238825	0.6411
33.457312	-4.209897	0.6198
33.458694	-4.229009	0.6551
33.461735	-4.244423	0.6553
33.467213	-4.250285	0.4635
33.469714	-4.193422	0.7405
33.471877	-4.259174	0.5531
33.471671	-4.175631	0.7412
33.226277	-4.267488	0.9619
33.227551	-4.267319	0.9446
33.230740	-4.182025	0.5376
33.232683	-4.243528	0.6442
33.237772	-4.265833	0.4721
33.239516	-4.287408	0.7386
33.239027	-4.224537	0.6715
33.241010	-4.277650	0.5184
33.242318	-4.233617	0.7102
33.244392	-4.228603	0.4860
33.244580	-4.178362	0.9690
33.245722	-4.267313	0.6422
33.247017	-4.272756	0.7386
33.247322	-4.234019	0.7480
33.248454	-4.241681	0.6209
33.253684	-4.282726	0.7410
33.254119	-4.234787	0.6526
33.255875	-4.184894	0.6482
33.258110	-4.213471	0.8735
33.261324	-4.235682	0.6700
